prompt,completion
Боялся юношей,Horrified of young dudes
Закусывал пожаром,Snacking on infernos
Запивал наводнением,Chased them down with floods
Маленький принц возвращался домой,The little prince made his way back home
Проигрывал партии,Losing every match-up
Одну за другой,One after another
Лузгал семечки,Pumpkin seeds doth munching
Вонял как спички,Reeking like a matchstick
Срал себе на голову,Shitting on his head
Хватал себя за бороду,Tugging on his beard
Травился звуком,Poison noises gorging
Давился дождем,Choking on the rain
Приплясывал с саблей,Dancing by with sabers
"To accurately translate into English a verse from Alexander Pushkin’s EUGENE ONEGIN the translator-poet must reproduce within the target language the full scope of compositional poetics known as the Onegin stanza, a highly specious set of formal versification patterns and constraints Pushkin had embedded into nearly every stanza of his verse novel. 
The Onegin stanza consists of 14 iambic tetrameter lines with a distinctive rhyme scheme. 
On the level of each line, the iambic tetrameter constitutes a four-fold unstressed-then-stressed syllable pattern (or x / times 4), typically with an extra unstressed end-line syllable: ( x / | x / | x / | x / | x ).
An example line: Так думал молодой повеса… This line may be translated as: The dandy youth thus contemplated… Or, representing stresses via caps: The DANdy YOUTH thus CONtemPLAted…
Meanwhile, on the stanza-level, the Onegin stanza carries the following rhyme scheme (where capital letters indicate double (feminine) rhymes): ( A b A b C C d d E f f E g g )
Now, translate the following stanza: 
Бывало, писывала кровью 
Она в альбомы нежных дев, 
Звала Полиною Прасковью 
И говорила нараспев, 
Корсет носила очень узкий, 
И русский Н как N французский 
Произносить умела в нос; 
Но скоро все перевелось: 
Корсет, альбом, княжну Алину, 
Стишков чувствительных тетрадь 
Она забыла: стала звать 
Акулькой прежнюю Селину 
И обновила наконец 
На вате шлафор и чепец.","When once, with blood she would be scrawling
In albums of some tender dame;  Would speak in sing-song; and when calling
Praskovya to “Pauline” rename;  Would wear thin corsets, tighten laces, 
Adopt a French-like nasal “n”; 
Yet, as the years rolled by, again 
She lost her Frenchy airs and graces; 
The corset, album, all forgotten, 
Her tender verse, her friend Aline; 
Became ""Akulka” her Celine; 
And once her twangy “n” had softened, 
She donned — her last defenses down –
A mob-cap and a dressing-gown."
"БЕЗБОЖНАЯ 
(Поэт:) Елизавета Акашева 

Убежала... Далеко. 
Думала — поймает Бога… 
Распахнулось дальнее окно. 
Тихо встала у порога. 

Дальний вышел... Кто? 
Молитву зашептала… 
Поняла потом, что Он — никто, 
И молиться перестала. 

Сковырнула на окне звезду. 
Сердито посмотрела… 
Плюнула в глаза Ему. 
Песенку запела.","THE GODLESS GIRL 
(Poet:)  Elizaveta Akasheva 

She ran off... Fled way out far. 
She would capture God, she figured… 
Distant windows flew ajar. 
By the doors, she mutely lingered. 

Distant one stepped out... Who's that…? 
First, she prayed, in whispers foaming… 
But at once, her prayers stopped 
When she understood: He's no-one. 

Reaching up, she scratched a star 
On the window, glared at Him, 
Then she spat into His eyes, 
And began to sing."
Ведь никто не возвратился оттуда,Since no body had returned – from there
Объяснить нам наш щенячий отчаянный свет,To explain us our Desperate puppy bright realm
"Значит злые пузыри и 
Небо как кофе,","Thus are bubbles getting mean and 
Heaven like coffee"
Оправдать наш безобразный оскаленный стыд,To excuse us our ugly Grimacing shame
Лишь дрянные костыли и небо как кофе,Only lousy crutches be... and Heaven like coffee
"Ведь никто не возвратился оттуда 
Чтоб унять наш коренной вопросительный страх","Since no body had returned – from there 
To excise our deeply-rooted question-marked fear"
"Остаются только жёлуди и небо как кофе 
Небо как кофе","Only acorns stay well-lodged... and heaven like coffee
Heaven like coffee"
"(Название:) БОЛЬШИЕ ОЖИДАНИЯ (1) 
(Поэт:) Маргарита Алигер 

Коптилки мигающий пламень. 
Мы с Диккенсом в доме одни. 
Во мраке горят перед нами 
больших ожиданий огни. 

О, молодость бедного Пипа, 
как тянется к счастью она! 
… А в доме ни звука, ни скрипа. 
Угрюмо и тихо. Война. 

Давно ль в этом доме, давно ли 
звучали светло голоса? 
Но я не ослепла от боли. 
Я вижу вдали паруса. 

Моя золотая свобода, 
тебя не задушат тоской. 
… Конец сорок первого года. 
Фашисты стоят под Москвой.","(Title:) GREAT EXPECTATIONS (1) 
(Poet:) Margarita Aliger 

The flame of an oil burner flickers. 
Just Dickens and I, here at home. 
Before us burns down, in the darkness, 
Of great expectations the glow. 

Poor Pip, and his youth, and its reaching 
For happiness, how they would sprawl! 
...No sound, not a creak in this building, 
It's sullen and silent. The war. 

How long ago, here in this house, 
So brightly chimed voices? How long? 
Through pain, spurning blindness, in distance 
I'm watching bright sails coming on. 

My freedom, my own, oh my golden! 
Won't let you get strangled with dread! 
The forty-first year is concluding, 
And fascists near Moscow decamp."
"(Название:) БОЛЬШИЕ ОЖИДАНИЯ (2) 
(Поэт:) Маргарита Алигер 

Раскаты недальнего боя. 
Больших ожиданий полет. 
Петрищевской площадью Зоя 
на раннюю гибель идет. 

Ее не спасти нам от пытки, 
воды не подать, не помочь… 
Вокруг полыхают зенитки. 
Глухая осадная ночь. 

Зловещие контуры зданий. 
Ни щелки, ни проблеска нет. 
И только больших ожиданий 
сердца согревающий свет. 

Любовь моя горькая, где ты? 
Вернись на мгновение в стих. 
Уже я теряю приметы 
оборванных нитей твоих. 

Но памятью первых свиданий 
светлеет жестокий конец. 
Зарницы больших ожиданий! 
Пленительный трепет сердец! 

Какой бы нам жребий ни выпал, 
какие б ни грянули дни… 
О, молодость бедного Пипа! 
Больших ожиданий огни!","(Title:) GREAT EXPECTATIONS (2) 
(Poet:) Margarita Aliger 

Through thunders of nearby battles, 
Our great expectations arise. 
Petrishevo village square. Zoya 
Braves forth, facing early demise. 

And we cannot save her from torture, 
Nor feed her some water, nor aid… 
Around us the missiles keep scorching. 
Then deep silent night. The blockade. 

The menacing contours of houses, 
No door-crack, no glimmer in sight. 
And only of great expectations 
A heartwarming shimmering light. 

Where are you, my lover begrieving? 
Return for a glance, through my verse, 
For I'm now forgetting the features 
Of those tattered strands, that were yours. 

First dates, brought across my remembrance 
Still brighten a cruelest end. 
Oh, bonfires of great expectations! 
A throbbing of hearts well-entrapped! 

Whatever our destinies draw us, 
Whatever our futures may throw… 
Poor Pip, and his youth, and its reaching! 
Of great expectations the glow!"
Сид Вишес умер у тебя на глазах,Sid Vicious died right before your eyes
Ян Кёртис умер у тебя на глазах,Ian Curtis died in front of your eyes
Джим Моррисон умер у тебя на глазах,Jim Morrison croaked right before your eyes
А ты остался таким же как был...,But you just stayed same as you were…
Всего два выхода для честных ребят,Only two ways out for the good and honest crowd
Схватить автомат и убивать всех подряд,"Grab an automatic rifle, murder everyone around"
"Или покончить с собой, собой, собой, собой, собой, собой,","Else, go & off your self, self, self, self, self"
Если всерьёз воспринимать этот мир...,For those who take this world at its own damn word
"Цель оправдывает средства давай 
Убивай, насилуй, клевещи, предавай 
Ради светлого, светлого, светлого, светлого
Светлого храма демократии...","Since aims justify all means must be okay 
To murder, rape, inform on, and betray 
For the sake of that brightest, blinding whitest 
Democratic pulpit's projector ray..."
"Не подниму свою вуаль,  Для поцелуя губ не покажу,  И перчатка моя узка ль,  И жмет ли больно пальцы, не скажу.   Сегодня вам не разгадать  Сквозь светлую вуалевую тень,  Зачем мне так хотелось спать,  И почему томит сегодня лень.   Коснетесь вы моей перчатки,  Пытливо взглянете в глаза, но жаль:  Вам так и не решить загадки,  Сквозь светлую, как облако, вуаль.","No, I won't lift up my veil today,
Nor bare my lips for your kiss.
No, I won't complain when my glove is too tight,
When it presses my fingers bruised. 

And blinded by shadows around my veil
You’ll never quite manage to guess
The reason I grew so sleepy today,
So languished with laziness. 

In a moment you’ll try to touch my glove,
To glance at my eyes with pain.
But no, my enigma you’ll never resolve,
Nor lift up my bright cloudy veil."
"(Название:) ВЫШЕ НОГИ ОТ ЗЕМЛИ
(Поэт:) Янка Дягилева

Ожидало поле ягоды
Ожидало море погоды…
Было да гнильем поросло
Времечко само по себе
Верная в болоте вода
Постная как грех на заре

Понеслась по кочкам метла
Поплыли туманы над рекой
Утонуло мыло в грязи
Обломался весь банный день

Значит будем в игры играть
Раз-два – выше ноги от земли
Кто успел - тому помирать
Кто остался – тот и дурачок

Обманули дурачка, обманули дурачка
Выше ноги от земли, выше ноги от земли

Самый правильный закон завязал
Изначальную главу в узелок
И до треска потянул за концы
Прорубай-не прорубай – не понять
Светопреставление

А глумливое пророчество
Настоящим заверяется
Все проверено все сходится
Даже сказочка хуевая
Сослужила службу – слушали
И качали головами в такт
И пускали светлый дым в потолок
Только сказочка хуевая
И конец у нее не правильный
Змей-Горыныч всех убил и съел
Обманули дурачка, обманули дурачка
Самолет нас заберет в полет
В темноте пинать резиновое солнышко

Выше ноги от земли, выше ноги от земли
Озаглавилась весна топором
Успокоилась река декабрем
Утро одиноким выстрелом...
Ожидало поле ягоды
Ожидало море погоды...","(Title:) FEET FLY HIGHER OFF THE GROUND 
(Poet:) Yanka Dyaghileva 

Anxious stood a field for berries 
Anxious stood a sea for weather… 
Was but got with rot overgrown 
Timey time got all on its own 
Trusty water down in the swamp 
Lenten as a sin is at dawning 

Swept over the hillocks the broom 
Streamed in on the river the fog 
Drowned down all the soap in the dirt 
Went to hell this whole bathing day 

Meaning now some games we shall play  
One-two – feet fly higher off the ground 
Make it in – you get to die 
And who’s left – that’s the little fool 

Pulled a fast one on the fool, pulled a fast one on the fool 
Feet fly higher off the ground, feet fly higher off the ground 

The most righteous of laws knotted up 
The initial chapter head in a sack 
And, so hard it scraped, tugged on the ends 
Now to slice, or not to slice, never mind 
Transflagration spectacle 

While the gloomy little prophecy 
Only our real living verifies 
All becomes confirmed, all aligns 
Even that shit lame fairy tale 
Served its job – they all listened in 
Nodded their heads to the rhythm 
At the ceiling blew glowing smoke  Only, it’s a shit fairy tale 
As it has the ending all wrong 
For the dragon killed and ate us all 
Pulled a fast one on the fool, pulled a fast one on the fool 
Soon a plane picks us to fly
In the dark to kick a tiny rubber sun

Feet fly higher off the ground, feet fly higher off the ground 
Springtime gained a head with an axe 
With December calmed river spaz 
With a lonely gunshot the dawn… 
Anxious stood a field for berries 
Anxious stood a sea for weather…"
"Завтра будет скучно и смешно
Это не больно 
Просто вчера был день","The next day will be riotous and boring 
This isn't painful 
Just means the last one was a day"
"Завтра будет вечно и грешно 
Это не важно 
Важен лишь цвет травы","The next day will be timeless and unholy 
That doesn't matter 
Only the shade of grasses might"
"Соль насыпана на ладонь 
Рассыпана на ладони…. 
…мышеловка захлопнулась!","Salt was poured onto the palm… 
Onto the palms was spread... 
…then the mousetrap snapped!"
"ВСЁ ИДЁТ ПО ПЛАНУ 

Границы ключ переломлен пополам А наш батюшка Ленин совсем усоп Он разложился на плесень и на липовый мёд А перестройка всё идёт и идёт по плану И вся грязь превратилась в голый лёд И всё идёт по плану... Всё идёт по плану... 

А моя судьба захотела на покой Я обещал ей не участвовать в военной игре Но на фуражке на моей серп и молот и звезда Как это трогательно серп и молот и звезда Лихой фонарь ожидания мотается И всё идёт по плану... Всё идёт по плану... 

А моей женой накормили толпу Мировым кулаком растоптали ей грудь Всенародной свободой разодрали ей плоть Так закопайте ж её во Христе Ведь всё идёт по плану... Всё идёт по плану... 

Лишь один дедушка Ленин хороший был вождь А все другие остальные такое дерьмо А все другие враги и такие мудаки Над родною над отчизной бесноватый снег шёл Я купил журнал «Корея» там тоже хорошо Там товарищ Ким Ир Сен там то же, что у нас Я уверен, что у них то же самое И всё идёт по плану Всё идёт по плану... 

А при коммунизме всё будет заебись Он наступит скоро надо только подождать Там всё будет бесплатно там всё будет в кайф Там наверное вощще не надо будет умирать Я проснулся среди ночи и понял, что Всё идёт по плану. Всё идёт по плану...","ALL GOES BY THE PLAN 
(Poet:) Yegor Letov 

The border's skeleton key... was broken in half... While our good daddy Lenin's... done fully shriveled up... He's gone decaying... into linden... honey and mold, while perestroika carries on... going by the plan... And... all the dirt... had transformed... to permafrost… And... It all goes by the plan… And… It all goes by the plan... (And...) 

My destiny started yearning for some rest... She made me promise ot to play in their military game... But on this cap of mine: are hammer, sickle, & a star... So very touching!.. (There’s:) a hammer, a sickle, and a star!.. A dashing lamplight of expectancy keeps dangling on... It all goes by the plan... And… It all goes by the plan… And… 

My wife – she was eaten by the crowd... And her breast was bashed by a world-sized fist... And her flesh was torn by a freedom for all... So, won't you come on.. and bury her in Christ! For… All goes by the plan... And... It all goes by the plan... (And...) 

Grandpa Lenin alone was a decent kind of chief... But all the other ones were awful pieces of shit... And all the others were frauds and despicable foes... Over the mother land fell a demoniac snow... I bought a magazine ""Korea"" Things are good there as well... They have this comrade – Kim Il Sung… There… Everything's the same. ow I'm convinced: Out there, things are just the same... And… By the plan... And… They all go by the plan… And… It all goes by the plan... But.. 

Under Communism... things will be fucking great!.. And it is coming, oh so soon And we only have to wait... There, all things will be free... And we could just feel good and high... and we'd... probably... ever... even have to die!.. Then I woke up... in the middle of the night... and knew… that all goes by the plan… And... It all goes by the plan… "
"(Название:) ЛИЛОВЫЕ ЛУЧИ 
(Поэт:) Максимилиан Волошин

О, фиолетовые грозы,
Вы — тень алмазной белизны!
Две аметистовые Розы
Сияют с горней вышины.

Дымится кровь огнём багровым,
Рубины рдеют винных лоз,
Но я молюсь лучам лиловым,
Пронзившим сердце вечных Роз.

И я склоняюсь на ступени,
К лиловым пятнам тёмных плит,
Дождём фиалок и сирени
Во тьме сияющей облит.

И храма древние колонны
Горят фиалковым огнём.
Как аметист, глаза бессонны
И сожжены лиловым днём.","(Title:) LILAC RAYS 
(Poet:) Maximilian Voloshin 

Oh, storm-clouds, in your violet gauzes, 
You — shadow of a diamond white! 
A pair of amethyst-spawned Roses 
Are beaming from a mountain height. 

While blood is seared by auburn flaming, 
And rubies over grape vines spark, 
Yet, unto lilac rays I’m praying. 
They’ve pierced eternal Roses’ heart. 

And now atop a stair I’m kneeling 
To lilac stains, dark rocky plates, 
By raining lilacs, raining violets 
In beaming darkness I am bathed. 

And the cathedral's ancient columns 
Flare with a violet-petaled flame. 
Like amethyst, the eyes are sleepless, 
Burnt out before the lilac day."
"ОФЕЛИЯ 
(Поэт:) Егор Летов 

Далёкая Офелия смеялась во сне: 
Пузатый дрозд, мохнатый олень 
Привычно прошлогодний нарисованный снег 
Легко светло и весело хрустит на зубах 

Нарядная Офелия текла через край 
Змеиный мёд, малиновый яд 
Резиновый трамвайчик, оцинкованный май 
Просроченный билетик на повторный сеанс 

Влюблённая Офелия плыла себе вдаль 
Сияла ночь, звенела земля 
Стремительно спешили, никого не таясь 
Часы в свою нелепую смешную страну 

Послушная Офелия плыла на восток 
Чудесный плен, гранитный восторг 
Лимонная тропинка в апельсиновый лес 
Невидимый лифт на запредельный этаж 

Далёкая Офелия смеялась во сне: 
Усталый бес, ракитовый куст 
Дарёные лошадки разбрелись на заре 
На все четыре стороны – попробуй поймай!","OPHELIA 
(Poet:) Yegor Letov 

Far-away Ophelia laughing in her sleep: 
A chubby-bellied thrush, a fuzzy deer 
Yesteryear's habitual pencil sketch of snow 
Cheerfully crunches thru the teeth 

Fancied up Ophelia flowing over borders 
Honey snakes, raspberry poisons 
A galvanized May, a tiny rubber trolly 
A long-expired ticket for a rerun showing 

Ophelia was lovestruck, floating far indeed 
The earth – it chimed; the night – it beamed 
Hours kept on rushing, not scared of any one 
Towards their funny ridiculous land 

Obedient Ophelia floated to the east 
A marvelous captivity, a granite bliss 
A lemony road into woods of orange groves 
A translucent lift up to transcendent floors 

A far-away Ophelia laughing in her sleep: 
A willowy thicket, a very tired imp 
All the gifted horses rambled off at dawn 
Every which way – go catch them if you can!"
"В БЛОКАДНОМ ЛЕНИНГРАДЕ НЕ СПЕШАТ ЧАСЫ... 
(Поэт:) Егор Летов 

В блокадном Ленинграде не спешат часы 
Зато звенят струны гляди не оглохни 
Смотри не сорвись со своей тишины 
Это вовсе не то, что ты думаешь 
Это вовсе не то, что ты знаешь 
Не оливковая кожа и не белая сова 
И не сладкая баба на дереве голая 
Не бездарное замещение одного другим 
То не смена караула 
Не братина по рукам запущенная 
Не раздольное бесноречие 
Не повальное баснословие 
Это не то, что ты знаешь 
Это не то, чем ты чавкаешь 
То не смена караула 
И не вздорная вера в царя и отечество 
То не карие жадные глазки они на тебя устремлённые влажные 
Не синяк на ноге, не столица на Паприке 
To – смутное; это – трижды-бродячее стократно-невнятное 
С того самого прославленного бережка","IN LENINGRAD UNDER BLOCKADE CLOCKS DON'T RUN FAST… 
(Poet:) Yegor Letov 

In Leningrad, under blockade, clocks don't run fast 
But strings do chime and how watch out, don't go deaf 
See you don't drop from that silence of yours – 
It isn’t at all what you think it is 
It is not at all what you've learned of 
Neither olive skin nor a white owl 
Nor some sweet chick up in a tree naked 
Nor an inept substitution of one thing for another 
That there is no change of guard 
Nor a mead chalice passed around 
No ribald feverticulation 
Nor rampant fabletalk 
It is not at all what you think it is 
It is not at all what you chomp with 
That there is no change of guards 
Nor insipid faith in tsar and fatherland 
Nor a pair of eager brown eyes at you pointed all wet 
Neither a bruise on the leg, nor a capital on Paprika 
That – is vague | this – thrice-meandering, hundredfold-incohered 
From that very gloried-storied little shore"
"НАВАЖДЕНИЕ 
(Поэт:) Егор Летов

Сон наоборот 
Я спотыкаюсь на ровном месте 
Сон наоборот 
Волос в чашке моей воды 

Грязный бинт и окно за окном 

Я увидел тень 
Я видел в небе там кто-то ходит 
Я увидел тень 
Блуждающих окон восковые огни 

Грязный бинт и окно за окном 

Запретите мне 
Я торчу на одном и том же 
Запретите мне 
Всё равно уже кайф прошёл 

Грязный бинт и окно за окном 

Сон наоборот 
Я спотыкаюсь на ровном месте 
Сон наоборот 
Волос в чашке моей вины... 

Грязный бинт и окно за окном","COMPULSION 
(Poet:) Yegor Letov 

Opposite of sleep 
I am stumbling over flat ground 
Opposite of sleep 
In my water cup a hair 

Greasy splint and the windows run on 

I beheld a shade 
Up in heaven someone treads there 
I beheld a shade 
Waxen flames of romping windows 

Greasy splint and the windows run on 

Please prohibit me 
I stay hooked on all the same things 
Please prohibit me 
All the same now the high is gone 

Greasy splint and the windows run on 

Opposite of sleep 
I am stumbling over flat ground 
Opposite of sleep 
In my water cup a hair 

Greasy splint and the windows run on"
"МАЛЕНЬКИЙ ПРИНЦ ВОЗВРАЩАЛСЯ ДОМОЙ 
(Поэт:) Егор Летов

Наблюдал предметы 
Целовал ланиты 
Кидал подкидышей 
Боялся юношей 
Закусывал пожаром 
Запивал наводнением 

Маленький принц возвращался домой 
Маленький принц возвращался домой 

Проигрывал партии 
Одну за другой 
Лузгал семечки 
Вонял как спички 
Срал себе на голову 
Хватал себя за бороду 
Травился звуком 
Давился дождем 

Маленький принц возвращался домой 
Маленький принц возвращался домой 

Приплясывал с саблей 
Как Ленин в октябре 
Катался на лодочке, 
Лазил по веревочке 
Ругался как татарин, 
Пизданулся, как Гагарин
Гадал по трупам, 
Ошибался как Гитлер-р-p-p-p 

Маленький принц возвращался домой 
Так, маленький принц возвращался домой","THE LITTLE PRINCE MADE HIS WAY BACK HOME 
(Poet:) Yegor Letov 

Keeping track of objects 
Kissing over cheekbones 
Tossing over foundlings 
Horrified of young dudes 
Snacking on infernos 
Chased them down with floods 

The little prince made his way back home 
The little prince was returning home 

Losing every match-up 
One after another 
Pumpkin seeds doth munching 
Reeking like a matchstick 
Tugging on his beard 
Shitting on his head 
Poison noises gorging 
Choking on the rain 

The little prince made his way back home 
The little prince was returning home 

Dancing by with sabers 
Like Lenin in October 
Sailed a tiny tugboat 
Climbed a tiny tug-rope 
Cussing like a Tatar 
Screwing as Gagarin 
Auguring cadavers 
Erroring like Hitler-r-r-r 

The little prince made his way back home 
Thus, little prince was returning home"
"(Название:) “ЗАБУДУТ…"" 
(Поэт:) Георгий Иванов 

Забудут и отчаянье и нежность, 
Забудут и блаженство и измену, – 
Все скроет равнодушная небрежность 
Других людей, пришедших нам на смену. 

Жасмин в цвету. Забытая могила… 
Сухой венок на ветре будет биться, 
И небеса сиять: все это было, 
И это никогда не повторится.","(Title:) ""THEY WOULD FORGET…” 
(Poet:) Georgiy Ivanov 

They would forget both sweetness and despair, 
Forget the rare betrayal, bliss, and grace, – 
All shall obscure a negligence, a lack of care 
Of other people, come to take our place. 

Now jasmine blooms. There stands a grave forsaken… 
A dried-up wreath upon a wind gust beats, 
And heavens shine: all this already happened, 
And never once, not anywhere, repeats."
Зоркие окна.,Vigilant windows.
Кто согреет зоркие окна?..,Who could warm such vigilant windows?
"Пожалей беззвучными словами 
Своего оловянного Христа.","Won't you silently verbalize your mercy 
Unto your tin-man of a Christ."
"Жадные пальцы 
Кто накормит 
Жадные пальцы? ","Covetous fingers 
Who could feed such 
Covetous fingers?"
"Обними голодными руками 
Своего неспасённого Христа","Go embrace with hungriest of limbs now 
Your unredeemed unrescuable Christ"
"Беглые тени 
Кто поймает 
Беглые тени?","Fugitive shadows 
Who could capture 
Fugitive shadows?"
"Снег упал мне в душу белый, 
В небе черном звездный взгляд. 
Странно проходить без дела 
Чуждых улиц длинный ряд.","Pale white snow fell on my spirit, 
Starry eyes in soot-black airs, 
Without purpose, wander strangely 
Endless alien thoroughfares. "
"Туман, туман 
Седая пелена 
Далеко-далеко 
За туманами война","The fog, the fog 
Grey-haired veiling blot 
Far, far beyond 
The fogs a war is fought"
"Идут бои без нас, 
Но за нами нет вины","Its battles rage without us, 
But we are not at fault"
Мы к земле прикованы туманом,To earth below us by the fog we're tethered
Воздушные рабочие войны.,The laborers of airways of the war.
"Туман, туман 
На прошлом, на былом 
Далеко-далеко 
За туманами наш дом","The fog, the fog 
Lies on what's past, what’s gone 
Far, far beyond 
The fog remains our home"
"А в землянке фронтовой 
Нам про детство снятся сны 
Видно, все мы рано повзрослели 
Воздушные рабочие войны.","And in a frontline earth hut 
Of childhood we dream on 
Seems we've all had to grow up much too early 
The laborers of airways in this war."
"Туман, туман 
Окутал землю вновь
Далеко-далеко
За туманами любовь","The fog, the fog 
Once more enshrouds the earth
Far, far beyond 
The fogs persists a love"
"Долго нас невестам ждать 
С чужедальней стороны","Long long our loves must wait for us 
Back from lands strange and far"
"Снег упал мне в душу белый, 
В небе черном звездный взгляд. 
Странно проходить без дела 
Чуждых улиц длинный ряд.","Starry gaze in pitch-black heavens,
Pale white snow fell on my soul,
Wander strangely, without purpose,
Alien streets, an endless row."
"Замедленный шок, канавы с водой 
Бетонные стены, сырая земля 
Железные окна, электрический свет 
Заплесневший звук, раскалённый асфальт","A slow-motion shockwave, the gutters spill out
The walls made of concrete, the moisturized earth
The windows of iron, the fluorescent glow
The mold-covered noise, and the burning asphalt"
"(Название:) СЕРОГЛАЗЫЙ КОРОЛЬ 
(Поэт:) Анна Ахматова 

Слава тебе, безысходная боль! 
Умер вчера сероглазый король. 

Вечер осенний был душен и ал, 
Муж мой, вернувшись, спокойно сказал: 

«Знаешь, с охоты его принесли, 
Тело у старого дуба нашли. 

Жаль королеву. Такой молодой!.. 
За ночь одну она стала седой». 

Трубку свою на камине нашёл 
И на работу ночную ушёл. 

Дочку мою я сейчас разбужу, 
В серые глазки ее погляжу. 

А за окном шелестят тополя: 
«Нет на земле твоего короля...»","(Title:) The grey-eyed king
(Poet:) Anna Akhmatova 

Glory to you, pain forever-enduring!
For yesterday died our young grey-eyed king.
 
The autumn-time evening was stuffy and red,
My husband, once back from his work, calmly said:
 
“I watched as they carried him back from the hunt,
Beside the old oak-tree his body was found.
 
I pity the queen. Him so young and so ripe.
Her hair turned to silver in one single night”.
 
He found his pipe lain atop of the hearth
And into the night he went, right back to work.
 
My daughter, my babe, from her crib I would raise,
And into her little grey eyes I would gaze.
 
While next to my window the poplars would sing:
“No more doth he walk on this earth, your young king…”"
"А мир был чудесный, как сопля на стене","While the world was a marvel, like some snot on a fence"
"А город был хороший, словно крест на спине",And the town was so great like a cross on the back
А день был счастливый как слепая кишка,"And the day was so happy, an intestine gone blind"
А он увидел солнце...,And then he saw the sun shine…
"Пластмассовый дым, горелая вонь","The burning of plastic, the stench and the smoke"
Колючая проволока вдаль километрит,The barbed wire fencing keeps milling ahead
"Обрезки резины, колёса и шлак","The torn scraps of rubber, the wheels and the slag"
"Слепые траншеи, сухая трава","The blindness of trenches, the dryness of grass"
"Колокольцев переливы, 
Скрип саней, трамвайный гром. 
А у Финского залива 
Тихий город, старый дом,","Interflowing play of sleigh bells, 
Creaking sleds, a trolley’s storm, 
While beside the Gulf of Finland: 
Quiet town and ancient home."
"Наше дело большое, почётное 
Словно кипение масла 
В кровавой каше","Our work is immense, as noble as the 
Boiling of oil 
In a blooded oatmeal"
Словно строчка бегущая прочь,Alike a phrase run off
Словно тёплый хлеб,Like a soft warm bread
Словно млечный дождь,Like a milky storm
В мире без греха,In a sinless world
"Наше дело последнее, словно 
Патрон","Our work is ultimate, like a 
Bullet"
Словно вечно последний подвиг,Like a forever ultimate feat
Словно всякий последний раз,Like all things never again
Словно первый вдох,Is like the newborn breath
Словно первый шаг,Is like a starting step
"Наше дело пропащее, словно палец 
Оторванный вражеской пулей","Our work is forsaken, alike a finger 
Torn away by a hostile bullet"
На священной народной войне,"During a sacred, a peoples' war"
Словно санный след,Like a trace from sleds
Словно смертный бог,Like a mortal god
"Наше дело геройское, словно житейская школа","Our work is heroic, alike a life school"
Заслуженных пощёчин,Made up of well-deserving face slaps
"(Название:) “Нет, не луна, а светлый циферблат…“ 
(Поэт:) Осип Мандельштам 

Нет, не луна, а светлый циферблат 
Сияет мне, — и чем я виноват, 
Что слабых звезд я осязаю млечность?","(Title:) “No, not the moon, a clock-face luminant…“ 
(Poet:) Osip Mandelshtam 

No, not the moon, a clock-face luminant 
Beams unto me, whichever then my fault 
If dimmer stars’ cream traces I keep catching? "
"ТРОЛЛЕЙБУС 
(Поэт:) Виктор Цой 


Мое место-слева, И я должен там сесть, Не пойму, почему Мне так холодно здесь, Я не знаком с соседом, Хоть мы вместе уж год, И мы тонем, Хотя каждый знает, где брод…   И каждый с надеждой Глядит в потолок, В троллейбусе, Который идет на восток, В троллейбусе, Который идет на восток, В троллейбусе, Который…   Все люди братья, Мы седьмая вода, И мы едем Не знаю, зачем и куда, Мой сосед не может Он хочет уйти, Но не может уйти Он не знает пути!   И вот мы гадаем, Какой может быть прок В троллейбусе, Который идет на восток, В троллейбусе, Который идет на восток, В троллейбусе, Который…   В кабине нет шофера, Но троллейбус идет, И мотор заржавел, Но мы едем вперед, Мы сидим, не дыша, Смотрим туда, Где на долю секунды Показалась звезда!..   Мы молчим, но мы знаем, Нам в этом помог Троллейбус, Который идет на восток… В троллейбусе, Который идет на восток, В троллейбусе, Который… ","STREETCAR 
(Poet:) Viktor Tsoy 


I must sit on the left Because that's just my place, Though I don't understand Why that means I must freeze... And I don't know my neighbor, Though we've been here all year... ow we drown, despite knowing That shorelines are near... 

We just stare at the roof And each stare hopes and pleads With the roof of the streetcar That moves to the east... We’re all in a streetcar That moves to the east… A streetcar that’s moving… 

All the world sisters-brothers: We're all of one blood!.. And we're all on the move. Where and why? I know not! See, my neighbor can't stand this Getting carried away, But he cannot get off o one showed him a way! 

While we're all just guessing The point of all this What use is this streetcar That only moves east?! We’re all in a streetcar That moves to the east… A streetcar that’s moving… 

In the front, there's no driver. The streetcar just goes. And the engine's all rusty, Still, we're moving forth. We just sit, holding breath, And we look towards where, For a flickering moment, A star would appear! 

We keep silent, while knowing: What helps us keep this, It must be this streetcar That moves to the east… We’re all in a streetcar That moves to the east… A streetcar that’s moving… "
